Author;IdInDiva;Type;Year;LevelND
Ahlberg, Jenny;601194;Artikel i tidskrift;2012;1
Ahlgren, Fredrik;846932;Konferensbidrag;2015;1
Ahlgren, Fredrik;846936;Konferensbidrag;2015;0
Ahlgren, Fredrik;847510;Konferensbidrag;2015;1
Ahlgren, Fredrik;867877;Konferensbidrag;2015;0
Ahlstrand, Emma;665241;Artikel i tidskrift;2013;1
Ahmad, Tanvir;623880;Konferensbidrag;2013;1
Ahmed, Ali;375385;Artikel i tidskrift;2011;2
Ahmed, Ali;410091;Artikel i tidskrift;2012;1
Ahmed, Ali;423064;Artikel i tidskrift;2011;1
Ahmed, Ali;423069;Artikel i tidskrift;2011;1
Ahmed, Ali;434478;Artikel i tidskrift;2011;1
Ahmed, Ali;437456;Artikel i tidskrift;2011;1
Ahmed, Ali;464401;Artikel i tidskrift;2011;1
Ahnesjö, Jonas;703125;Artikel i tidskrift;2014;1
Ahnesjö, Jonas;874028;Artikel i tidskrift;2011;1
Aho, Anna-Carin;913372;Artikel i tidskrift;2015;1
Aidemark, Jan;515006;Konferensbidrag;2012;1
Aidemark, Jan;516151;Konferensbidrag;2011;0
Aidemark, Jan;677425;Konferensbidrag;2013;1
Aidemark, Jan;678130;Konferensbidrag;2013;0
Aidemark, Jan;764810;Konferensbidrag;2014;1
Aidemark, Jan;805694;Konferensbidrag;2014;1
Aidemark, Jan;877498;Konferensbidrag;2015;1
Aikebaier, Faluke;785083;Artikel i tidskrift;2015;2
Airey, John;313952;Kapitel i bok, del av antologi;2011;2
Airey, John;313954;Kapitel i bok, del av antologi;2011;2
Airey, John;418400;Artikel i tidskrift;2011;1
Airey, John;418407;Kapitel i bok, del av antologi;2011;0
Airey, John;555784;Artikel i tidskrift;2011;1
Airey, John;555792;Artikel i tidskrift;2012;1
Airey, John;735221;Artikel i tidskrift;2014;2
Airey, John;798427;Artikel i tidskrift;2014;1
Airey, John;821514;Kapitel i bok, del av antologi;2013;1
Airey, John;821575;Artikel i tidskrift;2014;1
Airey, John;821596;Kapitel i bok, del av antologi;2013;1
Airey, John;821661;Artikel i tidskrift;2012;0
Airey, John;821674;Artikel i tidskrift;2014;1
Airey, John;821704;Konferensbidrag;2013;0
Airey, John;846476;Artikel i tidskrift;2015;1
Airey, John;846485;Kapitel i bok, del av antologi;2015;2
Airey, John;846499;Artikel i tidskrift;2015;1
Airey, John;846503;Artikel i tidskrift;2015;1
Akeab, Imad;714590;Artikel i tidskrift;2014;1
Akram, Neelam;627388;Artikel i tidskrift;2013;2
Akram, Neelam;750247;Artikel i tidskrift;2014;2
Al-Najjar, Basim;412709;Konferensbidrag;2011;0
Al-Najjar, Basim;422438;Konferensbidrag;2011;0
Al-Najjar, Basim;462486;Kapitel i bok, del av antologi;2012;1
Al-Najjar, Basim;527213;Konferensbidrag;2012;0
Al-Najjar, Basim;551503;Artikel i tidskrift;2012;0
Al-Najjar, Basim;563255;Artikel i tidskrift;2012;1
Al-Najjar, Basim;572122;Konferensbidrag;2012;0
Al-Najjar, Basim;572125;Konferensbidrag;2012;0
Al-Najjar, Basim;605100;Artikel i tidskrift;2012;1
Al-Najjar, Basim;625121;Artikel i tidskrift;2013;1
Al-Najjar, Basim;651263;Konferensbidrag;2013;0
Al-Najjar, Basim;713185;Artikel i tidskrift;2014;1
Al-Najjar, Basim;742962;Artikel i tidskrift;2014;1
Al-Najjar, Basim;743439;Kapitel i bok, del av antologi;2015;1
Al-Najjar, Basim;773627;Konferensbidrag;2015;1
Al-Najjar, Basim;882293;Konferensbidrag;2015;0
Al-Shaaban, Sarah;853757;Artikel i tidskrift;2015;0
Al-Talibi, Haidar;410590;Artikel i tidskrift;2013;1
Alakangas, Linda J.;734420;Artikel i tidskrift;2014;1
Albet-Torres, Nuria;471479;Artikel i tidskrift;2011;2
Albet-Torres, Nuria;610643;Artikel i tidskrift;2013;1
Albet-Torres, Nuria;637252;Artikel i tidskrift;2013;2
Albin, Björn;428678;Artikel i tidskrift;2011;0
Albin, Björn;467002;Artikel i tidskrift;2011;1
Albin, Björn;467010;Artikel i tidskrift;2014;1
Albin, Björn;544119;Artikel i tidskrift;2012;1
Albin, Björn;544700;Artikel i tidskrift;2012;1
Albin, Björn;560177;Artikel i tidskrift;2013;0
Albin, Björn;579063;Artikel i tidskrift;2012;0
Albin, Björn;579106;Artikel i tidskrift;2012;1
Albin, Björn;580039;Artikel i tidskrift;2013;1
Albin, Björn;580086;Artikel i tidskrift;2013;1
Albin, Björn;584807;Artikel i tidskrift;2014;1
Albin, Björn;584864;Artikel i tidskrift;2013;0
Albin, Björn;694772;Artikel i tidskrift;2014;1
Albin, Björn;951719;Artikel i tidskrift;2015;1
Albinsson, Gunilla;841540;Artikel i tidskrift;2015;1
Albrecht, Nina;685206;Konferensbidrag;2012;0
Aldén, Lina;645217;Artikel i tidskrift;2015;2
Aldén, Lina;645515;Artikel i tidskrift;2013;1
Aldén, Lina;755124;Artikel i tidskrift;2014;1
Aldén, Lina;791668;Artikel i tidskrift;2015;1
Aldén, Lina;807094;Artikel i tidskrift;2015;1
Aleksakhin, Vladyslav;441889;Konferensbidrag;2012;1
Alexandersson, Anna;524935;Artikel i tidskrift;2011;2
Alfredsson, Hanna;681115;Artikel i tidskrift;2013;1
Algotsson, Magnus;710916;Artikel i tidskrift;2014;1
Ali, Sharafat;388484;Artikel i tidskrift;2011;2
Ali, Sharafat;448659;Artikel i tidskrift;2011;2
Ali, Sharafat;460150;Artikel i tidskrift;2011;1
Ali, Sharafat;460153;Artikel i tidskrift;2011;1
Ali, Sharafat;624037;Artikel i tidskrift;2013;1
Ali, Sharafat;632599;Konferensbidrag;2013;0
Ali, Sharafat;791435;Artikel i tidskrift;2015;1
Ali, Sharafat;876085;Artikel i tidskrift;2015;1
Alissandrakis, Aris;715397;Artikel i tidskrift;2014;1
Alissandrakis, Aris;743725;Konferensbidrag;2013;1
Alissandrakis, Aris;743728;Kapitel i bok, del av antologi;2013;0
Alissandrakis, Aris;769193;Konferensbidrag;2014;1
Alissandrakis, Aris;852203;Konferensbidrag;2015;1
Alissandrakis, Aris;852212;Konferensbidrag;2015;1
Alku, Jeton;868846;Konferensbidrag;2015;0
Allen, Christopher;708879;Konferensbidrag;2012;0
Allen, Christopher;708880;Konferensbidrag;2013;0
Allen, Christopher;794755;Artikel i tidskrift;2015;2
Allen, Christopher;867977;Artikel i tidskrift;2015;0
Allen, Christopher;892097;Konferensbidrag;2015;1
Allen, Christopher;892136;Konferensbidrag;2015;1
Allhorn, Simon;805497;Konferensbidrag;2015;0
Allmér, Hans;665949;Konferensbidrag;2013;0
Allmér, Hans;665951;Konferensbidrag;2013;0
Allmér, Hans;665954;Kapitel i bok, del av antologi;2011;0
Allmér, Hans;665958;Kapitel i bok, del av antologi;2011;0
Allmér, Hans;665962;Kapitel i bok, del av antologi;2013;0
Allmér, Hans;665963;Kapitel i bok, del av antologi;2013;0
Allmér, Hans;856096;Kapitel i bok, del av antologi;2014;1
Almasri, Abdullah;287506;Artikel i tidskrift;2011;1
Almerud Österberg, Sofia;565129;Artikel i tidskrift;2012;1
Almerud Österberg, Sofia;575562;Artikel i tidskrift;2012;1
Almerud Österberg, Sofia;666336;Artikel i tidskrift;2013;1
Almerud Österberg, Sofia;666611;Artikel i tidskrift;2013;0
Almerud Österberg, Sofia;734441;Artikel i tidskrift;2014;1
Almerud Österberg, Sofia;797220;Artikel i tidskrift;2012;1
Almerud Österberg, Sofia;849061;Artikel i tidskrift;2015;1
Almerud Österberg, Sofia;854114;Bok;2014;0
Almerud Österberg, Sofia;854115;Bok;2015;1
Almgren White, Anette;548739;Artikel i tidskrift;2012;0
Almgren White, Anette;640608;Kapitel i bok, del av antologi;2013;1
Almgren White, Anette;748617;Artikel i tidskrift;2014;1
Alpenberg, Jan;713675;Artikel i tidskrift;2013;0
Alpenberg, Jan;759947;Konferensbidrag;2014;0
Alpenberg, Jan;765740;Konferensbidrag;2014;0
Alpenberg, Jan;851564;Konferensbidrag;2015;0
Alpenberg, Jan;868846;Konferensbidrag;2015;0
Alpenberg, Jan;868848;Konferensbidrag;2015;0
Alricsson, Marie;420636;Artikel i tidskrift;2012;1
Alricsson, Marie;620357;Artikel i tidskrift;2011;1
Alricsson, Marie;620368;Artikel i tidskrift;2011;1
Alricsson, Marie;637418;Artikel i tidskrift;2013;1
Alricsson, Marie;703125;Artikel i tidskrift;2014;1
Alricsson, Marie;707472;Artikel i tidskrift;2014;1
Alricsson, Marie;707482;Artikel i tidskrift;2012;1
Alricsson, Marie;707487;Artikel i tidskrift;2011;1
Alricsson, Marie;707495;Artikel i tidskrift;2012;1
Alricsson, Marie;782291;Artikel i tidskrift;2014;1
Alricsson, Marie;873987;Artikel i tidskrift;2015;1
Alricsson, Marie;874027;Artikel i tidskrift;2011;1
Alricsson, Marie;874028;Artikel i tidskrift;2011;1
Alricsson, Marie;874029;Artikel i tidskrift;2015;0
Alriksson, Stina;584124;Artikel i tidskrift;2013;1
Alriksson, Stina;584139;Konferensbidrag;2011;1
Alriksson, Stina;645479;Artikel i tidskrift;2013;1
Alriksson, Stina;645815;Artikel i tidskrift;2015;2
Alriksson, Stina;672136;Artikel i tidskrift;2014;1
Alriksson, Stina;821772;Bok;2012;0
Alvunger, Daniel;765702;Konferensbidrag;2014;0
Alvunger, Daniel;818499;Konferensbidrag;2015;0
Alvunger, Daniel;908814;Artikel i tidskrift;2015;1
Amatya, Suyesh;638896;Kapitel i bok, del av antologi;2013;1
Ammert, Niklas;389647;Kapitel i bok, del av antologi;2011;1
Ammert, Niklas;389648;Kapitel i bok, del av antologi;2011;1
Ammert, Niklas;406928;Bok;2011;0
Ammert, Niklas;434285;Konferensbidrag;2011;0
Ammert, Niklas;469981;Artikel i tidskrift;2011;0
Ammert, Niklas;516427;Kapitel i bok, del av antologi;2012;0
Ammert, Niklas;582600;Kapitel i bok, del av antologi;2011;1
Ammert, Niklas;668447;Bok;2013;1
Ammert, Niklas;697642;Artikel i tidskrift;2013;1
Ammert, Niklas;706568;Kapitel i bok, del av antologi;2013;1
Ammert, Niklas;728661;Artikel i tidskrift;2014;0
Ammert, Niklas;768812;Kapitel i bok, del av antologi;2014;0
Ammert, Niklas;768814;Kapitel i bok, del av antologi;2014;0
Ammert, Niklas;770986;Artikel i tidskrift;2014;1
Ammert, Niklas;816205;Bok;2015;1
Ammert, Niklas;824060;Kapitel i bok, del av antologi;2015;0
Ammert, Niklas;825586;Artikel i tidskrift;2015;0
Ammert, Niklas;844853;Artikel i tidskrift;2015;1
Ammert, Niklas;858684;Kapitel i bok, del av antologi;2015;0
Amneklev, Jennie;691952;Artikel i tidskrift;2014;1
Amneklev, Jennie;796613;Artikel i tidskrift;2015;1
Amsteus, Martin;400023;Artikel i tidskrift;2011;1
Amsteus, Martin;400033;Artikel i tidskrift;2011;1
Amsteus, Martin;400041;Artikel i tidskrift;2012;0
Amsteus, Martin;452993;Artikel i tidskrift;2012;1
Amsteus, Martin;709809;Artikel i tidskrift;2014;1
Amsteus, Martin;805121;Artikel i tidskrift;2014;1
Amsteus, Martin;853755;Artikel i tidskrift;2015;1
Amsteus, Martin;853757;Artikel i tidskrift;2015;0
Amsteus, Martin;853758;Artikel i tidskrift;2015;0
Amsteus, Martin;853759;Artikel i tidskrift;2014;1
Amsteus, Martin;915349;Artikel i tidskrift;2015;1
Anderberg, Andreas;913105;Kapitel i bok, del av antologi;2014;1
Anderberg, Mats;622315;Artikel i tidskrift;2013;1
Anderberg, Mats;764821;Artikel i tidskrift;2014;1
Anderberg, Mats;898444;Artikel i tidskrift;2015;1
Anderberg, Mats;898456;Artikel i tidskrift;2015;1
Andersen, Jon Aarum;563241;Artikel i tidskrift;2012;0
Andersen, Jon Aarum;565681;Artikel i tidskrift;2011;2
Andersen, Jon Aarum;642487;Konferensbidrag;2012;0
Andersen, Jon Aarum;746336;Artikel i tidskrift;2013;0
Anderson, Helén;677619;Kapitel i bok, del av antologi;2013;0
Anderson, Helén;677990;Konferensbidrag;2013;0
Anderson, Helén;677992;Konferensbidrag;2013;0
Andersson Burnett, Linda;639011;Kapitel i bok, del av antologi;2013;2
Andersson Burnett, Linda;782204;Artikel i tidskrift;2014;1
Andersson, Eleonor;665334;Kapitel i bok, del av antologi;2013;1
Andersson, Håkan S.;355823;Kapitel i bok, del av antologi;2013;1
Andersson, Håkan S.;468589;Artikel, forskningsöversikt;2011;1
Andersson, Håkan S.;565152;Artikel i tidskrift;2012;1
Andersson, Håkan S.;705412;Artikel i tidskrift;2014;2
Andersson, Håkan S.;874898;Artikel i tidskrift;2015;1
Andersson, Håkan S.;876007;Artikel i tidskrift;2015;0
Andersson, Jeff;687757;Artikel i tidskrift;2013;0
Andersson, Jesper;474176;Kapitel i bok, del av antologi;2011;1
Andersson, Jesper;475816;Konferensbidrag;2011;1
Andersson, Jesper;477470;Konferensbidrag;2012;1
Andersson, Jesper;477481;Konferensbidrag;2011;0
Andersson, Jesper;477532;Kapitel i bok, del av antologi;2011;1
Andersson, Jesper;530060;Kapitel i bok, del av antologi;2012;1
Andersson, Jesper;530062;Artikel i tidskrift;2012;0
Andersson, Jesper;530142;Konferensbidrag;2013;1
Andersson, Jesper;530145;Kapitel i bok, del av antologi;2012;1
Andersson, Jesper;550086;Artikel i tidskrift;2012;1
Andersson, Jesper;623029;Konferensbidrag;2012;1
Andersson, Jesper;641056;Konferensbidrag;2013;1
Andersson, Jesper;641058;Konferensbidrag;2013;1
Andersson, Jesper;683958;Konferensbidrag;2013;1
Andersson, Jesper;720709;Konferensbidrag;2013;1
Andersson, Jesper;720711;Konferensbidrag;2013;1
Andersson, Jesper;758205;Artikel i tidskrift;2014;2
Andersson, Jesper;822846;Kapitel i bok, del av antologi;2014;1
Andersson, Jesper;822847;Konferensbidrag;2015;1
Andersson, Jesper;895978;Konferensbidrag;2015;1
Andersson, Jesper;916013;Konferensbidrag;2015;1
Andersson, Lina (current name Aldén, Lina);352350;Artikel i tidskrift;2011;1
Andersson, Lina (current name Aldén, Lina);375385;Artikel i tidskrift;2011;2
Andersson, Lina (current name Aldén, Lina);387553;Artikel i tidskrift;2011;1
Andersson, Lina (current name Aldén, Lina);405037;Artikel i tidskrift;2015;1
Andersson, Lina (current name Aldén, Lina);407352;Artikel i tidskrift;2011;1
Andersson, Lina (current name Aldén, Lina);410091;Artikel i tidskrift;2012;1
Andersson, Lina (current name Aldén, Lina);417248;Artikel i tidskrift;2011;1
Andersson, Lina (current name Aldén, Lina);437456;Artikel i tidskrift;2011;1
Andersson, Lina (current name Aldén, Lina);510105;Artikel i tidskrift;2013;1
Andersson, Lina (current name Aldén, Lina);515535;Artikel i tidskrift;2012;1
Andersson, Lina (current name Aldén, Lina);541525;Artikel i tidskrift;2013;1
Andersson, Lina (current name Aldén, Lina);546784;Artikel i tidskrift;2013;1
Andersson, Lina (current name Aldén, Lina);646928;Artikel i tidskrift;2015;1
Andersson, Michael R.;536992;Artikel i tidskrift;2012;1
Andersson, Michael R.;542018;Artikel i tidskrift;2012;2
Andersson, Michael R.;574482;Artikel i tidskrift;2012;1
Andersson, Niklas;728418;Artikel i tidskrift;2014;1
Andersson, Robert;535651;Artikel i tidskrift;2012;1
Andersson, Robert;716790;Kapitel i bok, del av antologi;2015;1
Andersson, Robert;801582;Kapitel i bok, del av antologi;2011;1
Andersson, Robert;801589;Kapitel i bok, del av antologi;2012;2
Andersson, Robert;801811;Artikel i tidskrift;2015;2
Andersson, Staffan;501135;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501147;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501158;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501167;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501172;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501177;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501181;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;501183;Kapitel i bok, del av antologi;2012;0
Andersson, Staffan;551018;Kapitel i bok, del av antologi;2012;2
Andersson, Staffan;551019;Konferensbidrag;2012;0
Andersson, Staffan;688687;Konferensbidrag;2013;0
Andersson, Staffan;790875;Kapitel i bok, del av antologi;2014;2
Andersson, Staffan;790897;Kapitel i bok, del av antologi;2014;0
Andersson, Staffan;790913;Kapitel i bok, del av antologi;2014;0
Andersson, Staffan;790920;Kapitel i bok, del av antologi;2014;0
Andersson, Staffan;802154;Konferensbidrag;2014;0
Andersson, Staffan;802589;Artikel i tidskrift;2014;0
Andersson, Staffan;858168;Kapitel i bok, del av antologi;2015;1
Andersson, Staffan;858185;Kapitel i bok, del av antologi;2015;1
Andersson, Staffan;916091;Konferensbidrag;2015;0
Andrae Thelin, Annika;951086;Kapitel i bok, del av antologi;2015;0
Andreasson, Jesper;460226;Artikel i tidskrift;2011;1
Andreasson, Jesper;623492;Artikel i tidskrift;2013;1
Andreasson, Jesper;641919;Artikel i tidskrift;2014;1
Andreasson, Jesper;641923;Artikel i tidskrift;2013;1
Andreasson, Jesper;652682;Artikel i tidskrift;2013;1
Andreasson, Jesper;733059;Bok;2014;2
Andreasson, Jesper;742709;Artikel i tidskrift;2014;0
Andreasson, Jesper;773917;Artikel i tidskrift;2014;1
Andreasson, Jesper;811868;Artikel i tidskrift;2015;1
Andreasson, Jesper;823651;Artikel i tidskrift;2015;1
Andreasson, Jesper;844577;Artikel i tidskrift;2015;1
Andreasson, Jesper;857063;Bok;2015;0
Anxo, Dominique;359356;Artikel i tidskrift;2012;1
Anxo, Dominique;464419;Artikel i tidskrift;2011;1
Anxo, Dominique;464435;Kapitel i bok, del av antologi;2011;2
Anxo, Dominique;464442;Kapitel i bok, del av antologi;2011;1
Anxo, Dominique;464450;Kapitel i bok, del av antologi;2011;0
Anxo, Dominique;574405;Artikel i tidskrift;2012;1
Anxo, Dominique;656899;Artikel i tidskrift;2013;0
Anxo, Dominique;657188;Kapitel i bok, del av antologi;2013;2
Anxo, Dominique;657204;Kapitel i bok, del av antologi;2012;0
Anxo, Dominique;657215;Kapitel i bok, del av antologi;2012;0
Anxo, Dominique;667743;Artikel i tidskrift;2013;1
Anxo, Dominique;709715;Artikel i tidskrift;2012;1
Anxo, Dominique;800354;Artikel i tidskrift;2014;1
Anxo, Dominique;800358;Artikel i tidskrift;2015;2
Anxo, Dominique;800362;Artikel i tidskrift;2015;1
Anxo, Dominique;800365;Kapitel i bok, del av antologi;2014;0
Anxo, Dominique;804990;Kapitel i bok, del av antologi;2015;1
Anxo, Dominique;912368;Kapitel i bok, del av antologi;2015;0
Anxo, Dominique;949702;Kapitel i bok, del av antologi;2015;2
Archer, Trevor;619742;Artikel i tidskrift;2013;1
Archer, Trevor;631114;Artikel i tidskrift;2013;0
Archer, Trevor;676790;Artikel i tidskrift;2013;1
Archer, Trevor;694077;Artikel i tidskrift;2013;1
Archer, Trevor;713735;Artikel, forskningsöversikt;2014;2
Archer, Trevor;972614;Artikel i tidskrift;2013;1
Areyuna-Villalobos, Héctor (published under the name Santini Adrián);621219;Artikel i tidskrift;2011;1
Arnman, Anna;790171;Kapitel i bok, del av antologi;2012;0
Aronsson, Peter;524935;Artikel i tidskrift;2011;2
Aronsson, Peter;599844;Kapitel i bok, del av antologi;2013;2
Aronsson, Peter;599846;Kapitel i bok, del av antologi;2013;2
Aronsson, Peter;599849;Kapitel i bok, del av antologi;2013;2
Aronsson, Peter;602540;Kapitel i bok, del av antologi;2012;0
Aronsson, Peter;602542;Kapitel i bok, del av antologi;2012;2
Aronsson, Peter;606239;Kapitel i bok, del av antologi;2012;1
Aronsson, Peter;623972;Kapitel i bok, del av antologi;2013;2
Aronsson, Peter;623974;Kapitel i bok, del av antologi;2012;1
Aronsson, Peter;624660;Artikel i tidskrift;2013;1
Aronsson, Peter;633794;Kapitel i bok, del av antologi;2013;0
Aronsson, Peter;779596;Kapitel i bok, del av antologi;2014;2
Aronsson, Peter;779599;Kapitel i bok, del av antologi;2014;2
Aronsson, Peter;866042;Artikel i tidskrift;2015;1
Arvidsson, Stefan;369302;Artikel i tidskrift;2011;1
Arvidsson, Stefan;474450;Bok;2012;1
Arvidsson, Stefan;474459;Artikel i tidskrift;2012;1
Arvidsson, Stefan;529368;Kapitel i bok, del av antologi;2012;1
Arvidsson, Stefan;558947;Artikel, forskningsöversikt;2013;2
Arvidsson, Stefan;578878;Artikel i tidskrift;2012;0
Arvidsson, Stefan;715913;Artikel i tidskrift;2014;1
Arvidsson, Stefan;868769;Artikel i tidskrift;2015;2
Arvidsson, Stefan;868770;Artikel i tidskrift;2013;1
Arvidsson, Stefan;868773;Kapitel i bok, del av antologi;2015;0
Asekritova, Irina;344838;Artikel i tidskrift;2012;1
Ask, Sofia;668830;Kapitel i bok, del av antologi;2014;1
Askenäs, Linda;413005;Konferensbidrag;2011;0
Askenäs, Linda;413008;Konferensbidrag;2011;0
Askenäs, Linda;515006;Konferensbidrag;2012;1
Askenäs, Linda;516151;Konferensbidrag;2011;0
Askenäs, Linda;669084;Konferensbidrag;2013;0
Askenäs, Linda;677425;Konferensbidrag;2013;1
Askenäs, Linda;678130;Konferensbidrag;2013;0
Askenäs, Linda;764728;Artikel i tidskrift;2013;1
Askenäs, Linda;764810;Konferensbidrag;2014;1
Askenäs, Linda;805694;Konferensbidrag;2014;1
Askenäs, Linda;877498;Konferensbidrag;2015;1
Atwine, Fortuante;951719;Artikel i tidskrift;2015;1
Augustsson, Anna;433783;Artikel i tidskrift;2011;2
Augustsson, Anna;620648;Artikel i tidskrift;2013;2
Augustsson, Anna;713447;Artikel i tidskrift;2014;1
Augustsson, Anna;769706;Konferensbidrag;2014;0
Augustsson, Anna;791160;Artikel i tidskrift;2015;2
Augustsson, Anna;796613;Artikel i tidskrift;2015;1
Augustsson, Anna;843895;Artikel i tidskrift;2015;2
Avril, Alexis;655136;Artikel i tidskrift;2013;1
Avril, Alexis;705520;Artikel i tidskrift;2013;1
Avril, Alexis;711157;Artikel i tidskrift;2014;2
Avril, Alexis;745471;Artikel i tidskrift;2014;1
Avril, Alexis;790623;Artikel i tidskrift;2015;1
Axelsson-Olsson, Diana;616655;Artikel i tidskrift;2013;2
Axelsson-Olsson, Diana;676773;Artikel i tidskrift;2013;1
Axelsson-Olsson, Diana;915126;Artikel i tidskrift;2015;1
Azimi Mousolou, Vahid;413438;Artikel i tidskrift;2011;2
Azimi Mousolou, Vahid;640241;Artikel i tidskrift;2013;2
Azimi Mousolou, Vahid;640247;Artikel i tidskrift;2013;1
Azimi Mousolou, Vahid;679309;Artikel i tidskrift;2014;1
Azimi Mousolou, Vahid;709815;Artikel i tidskrift;2014;2
Baan, Willem;782662;Artikel i tidskrift;2014;1
Babajan, Tigran;802589;Artikel i tidskrift;2014;0
Backåberg, Sofia;704906;Artikel i tidskrift;2014;1
Backåberg, Sofia;847187;Artikel i tidskrift;2015;1
Backåberg, Sofia;883393;Artikel i tidskrift;2015;1
Bader, Thomas K.;852864;Artikel i tidskrift;2015;1
Bader, Thomas K.;913880;Konferensbidrag;2015;0
Baltar, Federico;514575;Artikel i tidskrift;2012;2
Baltar, Federico;528725;Artikel i tidskrift;2012;1
Baltar, Federico;572252;Artikel i tidskrift;2013;1
Baltar, Federico;572253;Artikel i tidskrift;2013;1
Baltar, Federico;616983;Artikel i tidskrift;2013;1
Baltar, Federico;750247;Artikel i tidskrift;2014;2
Baltar, Federico;750248;Artikel i tidskrift;2014;2
Baltar, Federico;815313;Artikel i tidskrift;2015;1
Baltar, Federico;821453;Artikel i tidskrift;2015;1
Baltar, Federico;843072;Artikel i tidskrift;2015;2
Bard, Karin;565601;Artikel i tidskrift;2012;2
Basic, Goran;878783;Artikel i tidskrift;2015;1
Basieva, Irina;435381;Artikel i tidskrift;2011;1
Basieva, Irina;472472;Artikel i tidskrift;2011;1
Basieva, Irina;472474;Artikel i tidskrift;2011;0
Basieva, Irina;472475;Artikel i tidskrift;2011;1
Basieva, Irina;472890;Kapitel i bok, del av antologi;2011;1
Basieva, Irina;472967;Kapitel i bok, del av antologi;2011;1
Basieva, Irina;473724;Kapitel i bok, del av antologi;2011;1
Basieva, Irina;473845;Artikel i tidskrift;2011;1
Basieva, Irina;529320;Artikel i tidskrift;2012;1
