PID;Name;Title;PublicationType;ContentType;Journal;JournalISSN;Status;Volume;Issue;HostPublication;Year;Edition;Publisher;Series;SeriesISSN;ISBN;Urls;DOI;ISI;CreatedDate;PublicationDate;LastUpdated;FullTextLink;NumberOfAuthors;FridaLevel;PartOfThesis;PublicationSubtype;Conference
312268;"Leberfinger, Karolina [eleka] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Bohman, Irene [nboir] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Herrmann, Jan [nheja] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";The importance of terrestrial resource subsidies for shredders in open-canopy streams revealed by stable isotope analysis;Artikel i tidskrift;Refereegranskat;Freshwater Biology;0046-5070;published;56;3;;2011;;;;;;;10.1111/j.1365-2427.2010.02512.x;;23/04/10;23/04/10;19/12/12;;3;1;urn:nbn:se:lnu:diva-2996;;
313952;"Airey, John [kaijo] [0000-0003-3244-2586] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för språk och litteratur, SOL [5458]);Linder, Cedric [elice] (Uppsala University ; University of the Western Cape, South Africa)";Bilingual Scientific Literacy;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;Exploring the landscape of scientific literacy;2011;;Routledge;;;978-0-20384-328-4;;;2,9623E+11;27/04/10;27/04/10;30/05/16;;2;0;;;
313954;Airey, John [kaijo] [0000-0003-3244-2586] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för språk och litteratur, SOL [5458]);The relationship between teaching language and student learning in Swedish university physics;Kapitel i bok, del av antologi;Refereegranskat;;;;;;<em>Language and learning in the international university</em> : <em>From English uniformity to diversity and hybridity</em>;2011;;Multilingual Matters;;;;;;3,06076E+11;27/04/10;27/04/10;04/09/15;;1;2;;;
327005;"Filipsson, Monika [efimo] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Öberg, Tomas [qobto] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Bergbäck, Bo [nbebo] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";Variability and uncertainty in Swedish exposure factors for use in quantitative exposure assessments;Artikel i tidskrift;Refereegranskat;Risk Analysis;0272-4332;published;31;1;;2011;;;;;;;10.1111/j.1539-6924.2010.01464.x;;26/06/10;26/06/10;23/03/11;;3;2;urn:nbn:se:lnu:diva-11193;;
329287;Gillberg, Claudia [cgiiped] (Linnéuniversitetet [4853], Fakultetsnämnden för hälsa, socialt arbete och beteendevetenskap [5450], Institutionen för pedagogik, psykologi och idrottsvetenskap, PPI [5456]);A Methodological Interpretation of Feminist Pragmatism;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;Contemporary Feminist Pragmatism;2011;;Indiana University Press;;;;;;;09/07/10;09/07/10;03/04/13;;1;1;;;
331604;"Pilipovic, Stevan;Teofanov, Nenad;Toft, Joachim [jtomsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Matematisk modellering)";Micro-Local Analysis in Fourier Lebesgue and modulation Spaces. Part I;Artikel i tidskrift;Refereegranskat;Journal of Fourier Analysis and Applications;1069-5869;published;17;3;;2011;;Birkhäuser;;;;;10.1007/s00041-010-9138-1;;23/07/10;23/07/10;28/03/12;;3;2;;;
331607;"Ruzhansky, Michael (Imperial College London, UK);Sugimoto, Mitsuru (Nagoya University, Japan);Toft, Joachim [jtomsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Matematisk modellering);Tomita, Naohito (Osaka University, Japan)";Changes of variables in modulation and Wiener amalgam spaces;Artikel i tidskrift;Refereegranskat;Mathematische Nachrichten;0025-584X;published;284;16;;2011;;Wiley-VCH Verlagsgesellschaft;;;;;10.1002/mana.200910199;;23/07/10;23/07/10;23/05/16;;4;1;;;
331626;"Gröchenig, Karl-Heinz;Toft, Joachim [jtomsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Matematisk modellering)";Isomorphism properties of Toeplitz operators and pseudo-differential operators between modulation spaces;Artikel i tidskrift;Refereegranskat;Journal d'Analyse Mathematique;0021-7670;published;114;1;;2011;;Springer;;;;;10.1007/s11854-011-0017-8;;23/07/10;23/07/10;14/10/11;;2;2;;;
332077;"Pilipovic, Stevan ( University of Novi Sad, Serbia );Teofanov, Nenad ( University of Novi Sad, Serbia );Toft, Joachim [jtomsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Matematisk modellering)";Singular Support and F<em>L^</em><em>q </em>Continuity of Pseudodifferential Operators;Kapitel i bok, del av antologi;Refereegranskat;;;;;;Approximation and Computation;2011;;Springer;"Springer Optimization and Its Applications ; 42";1931-6828;;;10.1007/978-1-4419-6594-3_23;;02/08/10;02/08/10;17/05/16;;3;1;;;
337687;Fischler, Helmut [hefiaa] (Freie Universität Berlin, Berlin, Germany);Didaktik – An appropriate framework for the professional work of science teachers?;Kapitel i bok, del av antologi;Refereegranskat;;;;;;The professional knowledge base of science teaching;2011;;Springer;;;"978-90-481-3926-2;978-90-481-3927-9";;10.1007/978-90-481-3927-9_3;;09/08/10;09/08/10;13/11/14;;1;1;;;
337830;"Granéli, Edna [ngred] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Plankton Ecology);Vidyarathna, Nayani K. [fvina] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Plankton Ecology);Funari, Enzo (Istituto Superiore di Sanità, Rome, Italy);Cumaranatunga, PRT (University  of Ruhuna, Sri Lanka);Scenati, Raffaele ( National Institute of Health, Rome Italy)";Can increases in temperature stimulate blooms of the toxic benthic dinoflagellate <em>Ostreopsis ovata</em>?;Artikel i tidskrift;Refereegranskat;Harmful Algae;1568-9883;published;10;2;;2011;;Elsevier;;;;;10.1016/j.hal.2010.09.002;;09/08/10;09/08/10;25/02/14;;5;1;urn:nbn:se:lnu:diva-24901;;
337851;"Lin, Leteng [llebie] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]) (Bioenergy);Gustafsson, Eva [egukem] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]) (Bioenergy);Strand, Michael [mstbie] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för teknik, TEK [5464]) (Bioenergy)";Aerosol-based method for investigating biomass char reactivity at high temperatures;Artikel i tidskrift;Refereegranskat;Combustion and Flame;0010-2180;published;158;7;;2011;;;;;;;10.1016/j.combustflame.2010.11.015;;09/08/10;12/08/10;25/02/14;;3;2;urn:nbn:se:lnu:diva-31347;;
337930;"Forsman, Anders [ffoad] [0000-0001-9598-7618] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Merilä, Juha (University of Helsinki);Ebenhard, Torbjörn (Swedish Biodiversity Centre)";Phenotypic evolution of dispersal-enhancing traits in insular voles;Artikel i tidskrift;Refereegranskat;Proceedings of the Royal Society of London. Biological Sciences;0962-8452;published;278;1703;;2011;;;;;;;10.1098/rspb.2010.1325;;10/08/10;10/08/10;04/09/15;;3;2;;;
338044;"Peltola, Pasi [kpepa] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Virtasalo, Joonas;Öberg, Tomas [qobto] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Åström, Mats E. [kasma] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";Geochemistry of surface sediments in the Archipelago Sea, SW Finland: a multiparameter and multivariate study;Artikel i tidskrift;Refereegranskat;Environmental Earth Sciences;1866-6280;published;62;4;;2011;;;;;;http://www.springerlink.com/content/v45n416g02j61g11/;10.1007/s12665-010-0561-z;;10/08/10;10/08/10;25/02/14;;4;0;;;
342956;Kerren, Andreas [akemsi] [0000-0002-0519-2537] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (ISOVIS);Visualization of Workaday Data Clarified by Means of Wine Fingerprints;Konferensbidrag;Refereegranskat;;;;;;Human Aspects of Visualization : Second IFIP WG 13.7 Workshop on Human-Computer Interaction and Visualization, HCIV (INTERACT) 2009, Uppsala, Sweden, August 24, 2009, Revised Selected Papers;2011;;Springer;"Lecture Notes in Computer Science ; 6431";0302-9743;978-3-642-19640-9;;10.1007/978-3-642-19641-6_7;;11/08/10;11/08/10;24/11/14;;1;1;;;Second IFIP WG 13.7 Workshop on Human-Computer Interaction and Visualization, HCIV (INTERACT) 2009, Uppsala, Sweden, August 24, 2009
343126;"Edvinsson, Marcus [medmsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]);Lundberg, Jonas [jlnmsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]);Löwe, Welf [wlomsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466])";Parallel Data-Flow Analysis for Multi-Core Machines;Konferensbidrag;Refereegranskat;;;;;;;2011;;;;;;;;;12/08/10;12/08/10;29/03/11;;3;0;;;High-Performance and Embedded Architectures and Compilers (HiPEAC'11)
343165;"Kaczala, Fabio [tkafa] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Salomon, Paulo S. [nsapa] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Marques, Marcia [tmama] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Granéli, Edna [ngred] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Plankton Ecology);Hogland, William [thowi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";Effects from log-yard stormwater runoff on the microalgae <em>Scenedesmus subspicatus</em>: Intra-storm magnitude and variability;Artikel i tidskrift;Refereegranskat;Journal of Hazardous Materials;0304-3894;published;185;03/Feb;;2011;;;;;;;10.1016/j.jhazmat.2010.09.080;;12/08/10;12/08/10;25/02/14;;5;2;;;
343619;Khrennikov, Andrei [akhmsi] [0000-0002-9857-0938] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (ICMM);Prequantum Classical Statistical Field Theory: Schrödinger Dynamics of  Entangled Systems as a Classical Stochastic Process;Artikel i tidskrift;Refereegranskat;Foundations of physics;0015-9018;published;41;3;;2011;;;;;;;10.1007/s10701-009-9402-x;;14/08/10;14/08/10;03/05/16;;1;1;;;
343800;"Weissbach, Astrid [eweas] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Marine Ecology);Rudström, Maria (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Marine Ecology);Olofsson, Martin [folma] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Marine Ecology);Bechemin, Christian (IFREMER, France);Icely, John D (Sagremarisco, Portugal);Newton, Alice (Norwegian Institute for Air Research NIVA);Tillmann, Urban (Alfred Wegener Institute for Polar and Marine Research, Germany);Legrand, Catherine [nleca] [0000-0001-7155-3604] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (MPEA)";Phytoplankton allelochemical interactions change microbial food web dynamics;Artikel i tidskrift;Refereegranskat;Limnology and Oceanography;0024-3590;published;56;;;2011;;;;;;;10.4319/lo.2011.56.3.0899;;16/08/10;16/08/10;04/09/15;;8;1;urn:nbn:se:lnu:diva-11375;;
343817;"Persson, Karl-Johan [epeka] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Marine Ecology);Stenroth, Patrik [estpa] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Fish Ecology);Legrand, Catherine [nleca] [0000-0001-7155-3604] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (Marine Ecology)";Effects of the filamentous cyanobacterium Nodularia on fitness and feeding behavior of young-of-the-year (YOY) Eurasian perch (Perca fluviatilis);Artikel i tidskrift;Refereegranskat;Toxicon;0041-0101;published;57;08/Jul;;2011;;;;;;;10.1016/j.toxicon.2011.04.007;;16/08/10;16/08/10;04/09/15;;3;1;urn:nbn:se:lnu:diva-24684;;
343839;"Stenis, Jan [tstja] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Romanov, Mikhail (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Hogland, William [thowi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";Analysis and classification of the modern methods of ecological normalization of anthropogenic load : Russia vs. the West;Artikel i tidskrift;Refereegranskat;Open Environmental Engineering Journal;1874-8295;published;4;;;2011;;;;;;;10.2174/1874829501104010181;;16/08/10;16/08/10;27/05/16;;3;0;;;
343854;"Haftor, Darek [dermsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics);Mirijamdotter, Anita [amimsi] [0000-0002-3670-6537] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics);Kajtazi, Miranda [mkimsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics)";In Search for Unity within the Diversity of Information Societies;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;Information and Communication Technologies, Society and Human Beings: Theory and Framework (Festschrift in honor of Gunilla Bradley);2011;;IGI Global;;;"13: 9781609600570;10: 1609600576";http://www.igi-global.com/Bookstore/TitleDetails.aspx?TitleId=41897&DetailsType=AffiliateBio;10.4018/978-1-60960-057-0;;16/08/10;16/08/10;03/09/15;;3;1;;;
344053;"Wadenberg, Marie-Louise [ewamax] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (egen);Fjällström, Ann-Kristin [enoan] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Federley, Malin (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Persson, Pernilla (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Stenqvist, Pia (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463])";Effects of adjunct galantamine to risperidone, or haloperidol, in animal models of antipsychotic activity and extrapyramidal side-effect liability: involvement of the cholinergic muscarinic receptor;Artikel i tidskrift;Refereegranskat;International Journal of Neuropsychopharmacology;1461-1457;published;14;5;;2011;;Cambridge University Press;;;;;10.1017/S1461145710000921;2,90109E+11;17/08/10;17/08/10;26/05/15;;5;1;;;
344268;"Strandberg, Olof [fstol] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Condensed Matter Physics);Canali, Carlo M. [tcico] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Condensed Matter Physics);MacDonald, A.H. (University of Texas at Austin, USA)";Chern number spins of Mn acceptor magnets in GaAs;Artikel i tidskrift;Refereegranskat;Physical Review Letters;0031-9007;published;106;;;2011;;;;;;http://arxiv.org/abs/1008.0275;10.1103/PhysRevLett.106.017202;;18/08/10;18/08/10;23/05/16;;3;2;;;
344293;"Nilsson, Börje [bnimsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Vågor och signaler);Shelkovich, Vladimir (St Petersburg State University)";Mass, momentum and energy conservation laws in zero-pressure gas dynamics and delta-shocks;Artikel i tidskrift;Refereegranskat;Applicable Analysis;0003-6811;published;90;11;;2011;;;;;;;10.1080/00036810903569515;;18/08/10;18/08/10;13/01/12;;2;1;;;
344585;"Nilsson, Börje [bnimsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Vågor och signaler);Rozanova, Olga ( Department of Differential Equations, Moscow State University);Shelkovich, Vladimir (St Petersburg State University)";Mass, momentum and energy conservation laws in zero-pressure gas dynamics and delta-shocks: II;Artikel i tidskrift;Refereegranskat;Applicable Analysis;0003-6811;published;90;5;;2011;;;;;;;10.1080/00036811.2010.524156;;19/08/10;19/08/10;01/06/12;;3;1;;;
344756;"Sundbäck, Kristina (University of Gothenburg) (MPEA);Lindehoff, Elin [ekiel] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]);Granéli, Edna [ngred] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för naturvetenskap, NV [5463]) (MPEA)";Dissolved organic nitrogen : an important source of nitrogen for the microphytobenthos insandy sediment;Artikel i tidskrift;Refereegranskat;Aquatic Microbial Ecology;0948-3055;published;63;1;;2011;;;;;;;10.3354/ame01479;;20/08/10;20/08/10;27/05/16;;3;1;;;
344838;"Asekritova, Irina [iasmsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]);Cerdá, Joan (Barcelona University, Spain);Kruglyak, Natan (Linköping University)";The Riesz-Herz equivalence for capacitary maximal functions;Artikel i tidskrift;Refereegranskat;Revista Matemática Complutense;1139-1138;published;25;1;;2012;;;;;;;10.1007/s13163-010-0057-0;;22/08/10;22/08/10;11/03/16;;3;0;;;
345078;"Albeverio, Sergio (University of Bonn, Institute of Applied Mathematics);Hilbert, Astrid [ahimsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]);Kolokoltsov, Vassili (University of Warwick, Department of Statistics)";Uniform Asymptotic Bounds for the Heat Kernel and the Trace of a Stochastic Geodesic Flow;Artikel i tidskrift;Refereegranskat;Stochastics:  An International Journal of Probablitiy and Stochastic Processes;1744-2508;published;84;03/Feb;;2012;;;;;;;10.1080/17442508.2010.519029;3,03571E+11;23/08/10;23/08/10;20/01/16;;3;1;;;International Conference on Stochastic Analysis and Applications Location: Hammamet, TUNISIA Date: OCT 12-17, 2009
345994;"Kajtazi, Miranda [mkimsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics);Haftor, Darek [dermsi] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics);Mirijamdotter, Anita [amimsi] [0000-0002-3670-6537] (Linnéuniversitetet [4853], Fakultetsnämnden för naturvetenskap och teknik [5453], Institutionen för datavetenskap, fysik och matematik, DFM [5466]) (Informatics)";Information Inadequacy : Some Causes of Failures in Human and Social Affairs;Artikel i tidskrift;Refereegranskat;Electronic Journal of Information Systems Evaluation;1566-6379;published;14;1;;2011;;Academic Publishing Limited;;;978-1-906638-73-3;;;;16/08/10;30/08/10;03/09/15;;3;1;;;4th European Conference on Information Management and Evaluation
346450;Rossholm, Anna Sofia [arohum] (Linnéuniversitetet [4853], Fakultetsnämnden för humaniora och samhällsvetenskap [5451], Institutionen för språk och litteratur, SOL [5458]);Canon Formation as Refractions between the Arts : Film and Literature in Swedish Cinema 1916-1924;Kapitel i bok, del av antologi;Övrigt vetenskapligt;;;;;;The Film Canon;2011;;Forum;;;;;;;01/09/10;14/09/10;13/09/11;;1;0;;;
